Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,total_sqft
109,60,RL,0.0,13517,Pave,No Alley,4,Lvl,1,CulDSac,4,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,16,9,CBlock,9,9,1,36,533.0,1,0.0,192.0,725.0,GasA,25,1,16,725,754,0,0.0,0.0,2,1,3,1,16,49,0,0,Attchd,1976.0,4,475.0,9,9,Y,0,44,0,0,0,0,0,0,No Feature,0,3,2010,WD ,130500,2204.0
544,60,RL,43.0,11492,Pave,No Alley,4,Lvl,1,CulDSac,4,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,16,9,PConc,16,9,1,36,637.0,1,0.0,276.0,913.0,GasA,25,1,16,913,1209,0,1.0,0.0,2,1,4,1,16,49,1,9,Attchd,1997.0,4,559.0,9,9,Y,0,74,0,0,0,0,0,0,No Feature,0,4,2009,WD ,220000,3035.0
153,20,RL,68.0,7922,Pave,No Alley,9,Lvl,1,Inside,4,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,16,CBlock,9,9,1,36,731.0,1,0.0,326.0,1057.0,GasA,9,1,16,1057,0,0,1.0,0.0,1,0,3,1,16,49,0,0,Detchd,1953.0,1,246.0,9,9,Y,0,52,0,0,0,0,0,0,No Feature,0,1,2010,WD ,109000,2114.0
318,60,RL,73.0,9802,Pave,No Alley,9,Lvl,1,Inside,4,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,9,9,PConc,16,9,1,1,0.0,1,0.0,384.0,384.0,GasA,16,1,16,744,700,0,0.0,0.0,2,1,3,1,9,49,0,0,BuiltIn,2007.0,9,400.0,9,9,Y,100,0,0,0,0,0,0,0,No Feature,0,4,2010,WD ,174000,1828.0
255,50,RL,82.0,14235,Pave,No Alley,4,Lvl,1,Inside,4,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,9,9,PConc,4,16,1,1,0.0,1,0.0,676.0,676.0,GasA,9,1,16,831,614,0,0.0,0.0,2,0,3,1,9,49,0,0,Detchd,1957.0,1,484.0,9,9,N,0,59,0,0,0,0,0,0,No Feature,0,3,2010,WD ,138500,2121.0
138,20,RL,137.0,16492,Pave,No Alley,4,Lvl,1,Corner,4,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,16,9,CBlock,9,9,1,25,247.0,9,713.0,557.0,1517.0,GasA,25,1,16,1888,0,0,0.0,0.0,2,1,2,1,16,16,1,16,Attchd,1966.0,9,578.0,9,9,Y,0,0,0,0,0,0,0,0,No Feature,0,6,2010,WD ,190000,3405.0
2827,180,RM,35.0,3675,Pave,No Alley,9,Lvl,1,Inside,4,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,9,9,PConc,16,9,16,36,547.0,1,0.0,0.0,547.0,GasA,16,1,16,1072,0,0,1.0,0.0,2,0,2,1,9,49,0,0,Basment,2005.0,9,525.0,9,9,Y,0,44,0,0,0,0,0,0,No Feature,0,6,2006,New,140000,1619.0
145,20,RL,0.0,12160,Pave,No Alley,4,Lvl,1,Inside,4,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,9,9,CBlock,9,9,1,9,1000.0,1,0.0,188.0,1188.0,GasA,4,1,16,1188,0,0,1.0,0.0,1,0,3,1,9,49,0,0,Attchd,1959.0,4,531.0,9,9,Y,0,0,0,0,0,0,0,9,No Feature,0,5,2010,COD,142000,2376.0
1942,20,RL,0.0,15783,Pave,No Alley,9,Lvl,1,Inside,4,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,9,9,CBlock,9,9,1,9,292.0,1,0.0,632.0,924.0,GasA,9,1,16,924,0,0,0.0,0.0,1,0,2,1,9,49,0,0,Detchd,1952.0,1,420.0,9,9,Y,0,324,0,0,0,0,0,9,Shed,400,6,2007,WD ,112500,1848.0
1956,60,RL,70.0,11606,Pave,No Alley,4,HLS,1,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,9,9,PConc,16,9,9,9,650.0,1,0.0,390.0,1040.0,GasA,9,1,16,1040,1040,0,0.0,1.0,1,2,5,1,4,49,2,9,Attchd,1969.0,1,504.0,9,9,Y,335,0,0,0,0,0,0,0,No Feature,0,9,2007,WD ,135000,3120.0
