comp_shingle_roof,masonry_area,bsmt_cond,forced_air_or_other,heating_qual,has_central_air,electrical_qual,functionality,num_fireplaces,fireplace_qual,kitchen_qual,driveway_paved,has_wood_deck,has_open_porch,has_encl_porch,has_3ssn_porch,has_screen_porch,Fence,sqft_per_room,tot_fin_sqft,SalePrice,bsmt_fin_int,garage_qc,pool_qual_int,exterior_qc,overall_qc,siding_type_MetalSd,siding_type_Other,siding_type_Plywood,siding_type_VinylSd,siding_type_Wd Sdng,masonry_type_BrkFace,masonry_type_None,masonry_type_Stone
1,289.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,246.5,2012.0,130500,37,81,0,144,48,0,0,0,0,0,1,0,0
1,132.0,9,1,25,1,25,64,1,9,16,1,0,1,0,0,0,0,265.25,2759.0,220000,37,81,0,144,35,0,0,0,1,0,1,0,0
1,0.0,9,1,9,1,25,64,0,0,16,1,0,1,0,0,0,0,211.4,1788.0,109000,37,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,9,1,16,1,25,64,0,0,9,1,1,0,0,0,0,0,206.28571428571428,1444.0,174000,2,81,0,81,25,0,0,0,1,0,0,1,0
1,0.0,16,1,9,1,25,64,0,0,9,0,0,1,0,0,0,0,240.83333333333334,1445.0,138500,2,81,0,81,48,0,0,0,0,1,0,1,0
1,0.0,9,1,25,1,25,25,1,16,16,1,0,0,0,0,0,0,314.6666666666667,2848.0,190000,34,81,0,144,36,0,1,0,0,0,0,1,0
1,82.0,9,1,16,1,25,64,0,0,9,1,0,1,0,0,0,0,214.4,1619.0,140000,37,81,0,81,30,0,0,0,1,0,1,0,0
1,180.0,9,1,4,1,25,64,0,0,9,1,0,0,0,0,0,9,198.0,2188.0,142000,10,81,0,81,25,0,0,1,0,0,1,0,0
1,0.0,9,1,9,1,25,64,0,0,9,1,0,1,0,0,0,9,154.0,1216.0,112500,10,81,0,81,25,0,0,0,0,1,0,1,0
1,192.0,9,1,9,1,25,64,1,9,4,1,1,0,0,0,0,0,231.11111111111111,2730.0,135000,10,81,0,81,25,0,0,1,0,0,1,0,0
1,232.0,9,1,9,1,25,64,0,0,9,1,0,0,0,0,0,0,246.75,1374.0,85400,26,81,0,81,30,0,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,201.33333333333334,1601.0,183600,37,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,0,1,25,1,25,25,1,9,9,0,0,0,0,0,0,0,288.0,2016.0,131000,0,81,0,144,35,0,0,0,0,0,0,1,0
1,456.0,9,1,25,1,25,64,0,0,16,1,1,0,0,0,0,0,229.57142857142858,2420.0,200000,37,81,0,144,40,1,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,226.83333333333334,1385.0,193000,37,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,16,1,0,0,0,0,0,0,204.28571428571428,1430.0,173500,2,81,0,81,25,0,0,0,1,0,0,1,0
1,0.0,9,1,4,0,25,64,0,0,9,1,0,0,1,0,0,0,192.0,1344.0,98000,2,16,0,81,25,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,1,0,1,0,0,0,9,224.2,1772.0,139000,10,81,0,81,30,0,0,0,1,0,0,1,0
1,148.0,9,1,25,1,25,64,1,9,9,1,1,0,0,0,0,9,183.57142857142858,1285.0,143500,2,81,0,81,30,0,0,1,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,16,1,1,1,0,0,0,0,221.0,1571.0,215200,37,81,0,81,35,0,0,0,1,0,0,1,0
1,0.0,9,1,16,1,25,64,1,1,9,1,0,0,0,0,0,0,178.8,1386.0,129000,17,81,0,81,25,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,1,25,25,1,1,1,0,0,0,0,331.8,2817.0,278000,37,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,9,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,281.625,2253.0,344133,2,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,9,1,25,1,25,64,0,0,9,1,1,1,0,0,0,16,197.83333333333334,2122.0,185000,26,81,0,144,42,0,0,0,0,0,0,1,0
1,0.0,9,1,9,0,25,64,0,0,9,1,1,0,0,0,0,0,211.2,2112.0,145000,10,81,0,81,25,0,0,0,0,1,0,1,0
1,3.0,9,1,25,1,25,64,1,9,9,1,0,1,0,0,1,16,242.16666666666666,2765.0,187500,10,81,0,81,36,1,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,1,16,9,1,1,1,0,0,0,9,178.8,1564.0,138500,52,81,0,144,40,1,0,0,0,0,0,1,0
1,0.0,9,1,25,1,25,36,1,16,16,1,0,1,0,0,0,0,276.85714285714283,2544.0,198000,17,81,0,81,30,0,1,0,0,0,0,1,0
1,0.0,9,1,4,0,25,64,0,0,9,0,0,0,1,0,0,0,221.22222222222223,1991.0,119600,2,0,0,144,30,0,0,0,1,0,0,1,0
1,0.0,9,1,25,1,25,64,1,1,9,1,0,0,0,0,0,9,154.0,924.0,122900,2,81,0,144,35,1,0,0,0,0,0,1,0
0,0.0,9,1,9,1,25,64,1,16,16,1,1,1,0,0,0,9,280.44444444444446,3628.0,278000,26,81,0,144,40,0,1,0,0,0,0,1,0
1,0.0,9,1,4,1,25,64,1,16,16,1,0,0,0,0,0,0,216.71428571428572,1517.0,230000,2,81,0,81,56,0,1,0,0,0,0,1,0
1,0.0,16,1,25,1,25,64,1,16,25,1,0,1,0,0,1,0,249.0,2988.0,270000,40,81,0,256,40,0,1,0,0,0,0,1,0
1,0.0,9,1,9,1,25,64,0,0,9,0,0,1,0,0,0,0,189.6,1389.0,125000,26,81,0,81,36,0,0,0,0,1,0,1,0
1,336.0,9,1,25,1,25,64,1,16,16,1,1,1,0,0,0,0,245.42857142857142,3006.0,297000,37,81,0,144,40,0,0,0,1,0,0,0,1
0,82.0,9,1,4,1,25,64,1,16,9,1,0,1,1,0,0,0,228.4,1142.0,113500,2,81,0,81,36,0,0,0,0,1,1,0,0
1,0.0,9,1,25,1,25,64,1,9,9,1,1,1,0,0,0,0,245.83333333333334,2196.0,127000,34,81,0,81,30,0,1,0,0,0,0,1,0
1,480.0,9,1,25,1,25,64,1,9,9,1,0,1,0,0,0,9,263.42857142857144,2549.0,190000,17,81,0,81,36,0,0,1,0,0,1,0,0
1,320.0,9,1,4,1,25,64,1,9,9,1,0,0,0,0,0,0,207.0,2158.0,175500,26,81,0,81,42,0,0,0,0,0,1,0,0
1,0.0,16,1,25,1,25,64,0,0,9,1,1,0,0,0,0,0,198.0,1410.0,146000,37,81,0,144,35,0,0,0,1,0,0,1,0
1,0.0,9,1,16,1,25,64,0,0,9,1,1,1,0,0,0,0,209.33333333333334,2376.0,147500,20,81,0,144,30,0,0,0,0,0,0,1,0
1,0.0,16,1,25,1,25,64,1,16,25,1,1,1,0,0,0,0,296.57142857142856,3462.0,465000,37,81,0,225,50,0,0,0,1,0,0,1,0
1,104.0,9,1,25,1,25,64,1,9,16,1,1,1,0,0,0,0,277.5,2207.0,165500,37,81,0,144,30,0,0,1,0,0,1,0,0
1,335.0,9,1,25,0,9,64,0,0,9,1,0,0,0,0,0,0,256.42857142857144,1795.0,131500,2,36,0,81,25,1,0,0,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,9,1,0,0,0,0,0,0,208.0,1946.0,129500,10,81,0,81,25,0,0,0,0,0,0,1,0
1,40.0,4,1,9,1,25,64,1,16,9,1,0,0,1,0,0,0,208.11111111111111,2083.0,257076,5,36,0,81,48,0,1,0,0,0,0,0,1
1,0.0,9,1,25,1,25,36,0,0,9,1,0,1,0,0,0,0,267.3333333333333,2432.0,117000,20,81,0,81,25,0,0,0,0,1,0,1,0
1,0.0,9,1,9,1,25,64,1,16,9,0,0,0,1,0,0,9,250.33333333333334,1502.0,149000,2,81,0,36,42,0,1,0,0,0,0,1,0
1,110.0,9,1,9,1,25,64,0,0,9,1,0,0,1,0,0,9,177.16666666666666,1707.0,128000,13,81,0,81,25,0,0,0,0,0,0,0,1
1,106.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,271.0,1626.0,155000,2,81,0,144,35,0,0,0,1,0,0,0,1
1,513.0,9,1,25,1,25,64,0,0,16,1,0,1,0,0,0,0,381.0,1877.0,166000,37,81,0,144,30,1,0,0,0,0,1,0,0
1,0.0,9,1,9,1,25,36,1,9,16,1,1,1,0,0,0,9,283.0,2603.0,135000,17,81,0,81,12,0,1,0,0,0,0,1,0
1,184.0,9,1,9,1,25,64,1,9,16,1,0,1,0,0,1,9,232.0,4043.0,250000,20,81,2076,81,35,0,0,1,0,0,1,0,0
1,0.0,9,1,25,1,25,64,0,0,9,1,1,1,0,0,0,0,218.4,1268.0,76000,37,0,0,81,28,0,1,0,0,0,0,1,0
1,522.0,9,1,9,1,25,64,1,16,16,1,0,0,0,0,0,0,315.0,1575.0,155000,2,81,0,81,36,0,0,0,0,1,1,0,0
