Id,zoning,normal_frontage,lot_area,paved_access,alley,reg_shape,is_flat,inside_lot,near_rr,single_fam,one_story,house_qual,house_cond,built_before_1970,roof_gable,roof_std_shingle,vinyl_siding,has_masonry,ext_qual_above_avg,ext_cond_above_avg,b_height_above_avg,b_cond_above_avg,basement_finished,forced_air,heating_above_avg,central_air,std_circuit_breaker,kitchen_above_avg,fully_functional,has_fireplace,fireplace_qual,has_garage,garage_finished,garage_sqft,driveway_paved,has_wood_deck,has_open_porch,has_encl_porch,has_3ssn_porch,has_screen_porch,has_pool,has_fence,has_misc,total_sqft,full_baths,half_baths,total_rooms,slope_Mod,slope_Sev,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,month_sold_2,month_sold_3,month_sold_4,month_sold_5,month_sold_6,month_sold_7,month_sold_8,month_sold_9,month_sold_10,month_sold_11,month_sold_12,year_sold_2007,year_sold_2008,year_sold_2009,year_sold_2010,SalePrice
109,1,0,13517,1,0,0,1,0,1,1,0,6,8,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,475.0,1,0,1,0,0,0,0,0,0,2204.0,2.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,130500
544,1,0,11492,1,0,0,1,0,0,1,0,7,5,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,559.0,1,0,1,0,0,0,0,0,0,3035.0,3.0,1.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,220000
153,1,1,7922,1,0,1,1,1,0,1,1,5,7,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,246.0,1,0,1,0,0,0,0,0,0,2114.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109000
318,1,1,9802,1,0,1,1,1,0,1,0,5,5,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,400.0,1,1,0,0,0,0,0,0,0,1828.0,2.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,174000
255,1,0,14235,1,0,0,1,1,0,1,0,6,8,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,484.0,0,0,1,0,0,0,0,0,0,2121.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,138500
138,1,0,16492,1,0,0,1,0,0,1,1,6,6,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,578.0,1,0,0,0,0,0,0,0,0,3405.0,2.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,190000
2827,1,0,3675,1,0,1,1,1,0,0,0,6,5,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,525.0,1,0,1,0,0,0,0,0,0,1619.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140000
145,1,0,12160,1,0,0,1,1,0,1,1,5,5,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,531.0,1,0,0,0,0,0,0,1,0,2376.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,142000
1942,1,0,15783,1,0,1,1,1,0,1,1,5,5,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,420.0,1,0,1,0,0,0,0,1,1,1848.0,1.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,112500
1956,1,1,11606,1,0,0,0,1,0,1,0,5,5,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,504.0,1,1,0,0,0,0,0,0,0,3120.0,1.0,3.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,135000
